"What is the capital of Turkey?","Ankara"
"What is the capital of Syria?","Damascus (Dimashq)"
"What is the capital of Lebanon?","Beirut"
"What is the capital of Israel?","Jerusalem"
"What is the capital of Jordan?","Amman"
"What is the capital of Saudi Arabia?","Riyadh"
"What is the capital of Yemen?","Sana (Sanaa)"
"What is the capital of Oman?","Muscat"
"What is the capital of United Arab Emirates (UAE?)","Abu Dhabi (Abu Zaby)"
"What is the capital of Qatar?","Ad Dawhah"
"What is the capital of Bahrain?","Al Manamah"
"What is the capital of Kuwait?","Kuwait"
"What is the capital of Iraq?","Baghdad"
"What is the capital of Armenia?","Yerevan"
"What is the capital of Azerbaijan?","Baku"
"What is the capital of Georgia?","Tbilisi"
"What is the capital of Kazakhstan (Kazakstan?)","Akmola"
"What is the capital of Uzbekistan?","Tashkent"
"What is the capital of Turkmenistan?","Ashgabat (Ashkabad)"
"What is the capital of Afghanistan?","Kabul"
"What is the capital of Pakistan?","Islamabad"
"What is the capital of Tajikistan?","Dushanbe"
"What is the capital of Kyrgyzstan?","Bishkek"
"What is the capital of India?","New Delhi"
"What is the capital of Nepal?","Kathmandu"
"What is the capital of Bhutan?","Thimphu"
"What is the capital of Bangladesh?","Dhaka"
"What is the capital of Myanmar (Burma?)","Rangoon"
"What is the capital of China?","Beijing"
"What is the capital of Russia?","Moscow"
"What is the capital of Canada?","Ottawa"
"What is the capital of United States?","Washington, D.C."
"What is the capital of Mexico?","Mexico City"
"What is the capital of Guatemala?","Guatemala"
"What is the capital of Belize?","Belmopan"
"What is the capital of Honduras?","Tegucigalpa"
"What is the capital of El Salvador?","San Salvador"
"What is the capital of Nicaragua?","Managua"
"What is the capital of Costa Rica?","San José"
"What is the capital of Panama?","Panama"
"What is the capital of Cuba?","Havana"
"What is the capital of Jamaica?","Kingston"
"What is the capital of Haiti?","Port–au–Prince"
"What is the capital of Dominican Republic?","Santo Domingo"
"What is the capital of Columbia?","Santa Fe de Bogotá"
"What is the capital of Venezuela?","Caracas"
"What is the capital of Guyana?","Georgetown"
"What is the capital of Suriname?","Paramaribo"
"What is the capital of French Guiana?","Cayenne"
"What is the capital of Trinidad and Tobago?","Port–of–Spain"
